track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore and  ARIZONATEARS and  Lil Uzi Vert",3,2023,2,5,1638,0,0,130,B,Minor,69,36,90,1,10,15,4
Mami Chula,"Quevedo and  Jhayco",2,2023,4,27,875,4,43,120,G,Minor,80,33,70,22,0,9,4
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,132,,Minor,59,56,82,12,0,12,6
Don't ever say love me (feat. RM of BTS),"RM and  Colde",2,2023,5,4,105,0,0,145,B,Minor,54,19,48,36,0,37,5
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,"Jasiel Nu  ez and  Peso P",2,2023,2,2,200,4,1,123,G,Minor,70,86,68,24,0,11,4
Mas Rica Que Ayer,"Mambo Kingz and  DJ Luian and  Anuel Aa",3,2023,3,2,1208,0,1,94,B,Major,82,53,67,34,0,9,8
People Pt.2 (feat. IU),"IU and  Agust D",2,2023,4,7,209,4,24,89,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,87,F,Minor,65,71,56,4,0,15,20
DOGTOOTH,"Tyler and  The Creator",2,2023,3,27,1479,0,33,78,G#,Major,71,80,65,51,0,22,32
SORRY NOT SORRY,"Tyler and  The Creator",2,2023,3,31,709,0,0,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,NF,1,2023,3,25,660,0,52722996,106,G,Major,73,22,86,31,0,12,4
I Know - PR1SVX Edit,"Kanii and  PR1ISVX",2,2023,3,24,407,0,1,134,B,Minor,67,11,76,8,47,30,7
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,100,A,Major,72,42,66,18,4,19,4
Dijeron Que No La Iba Lograr,"Fuerza Regida and  Chino Pacas",2,2023,3,14,320,6,9,142,G,Minor,70,76,79,26,0,11,7
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,116,G,Major,90,96,73,62,0,9,4
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,92,A#,Minor,71,41,31,79,0,10,5
Tormenta (feat. Bad Bunny),"Gorillaz and  Bad Bunny",2,2023,2,24,1529,0,0,95,,Major,64,30,77,46,0,38,6
on the street (with J. Cole),"j-hope and  J. Cole",2,2023,3,3,615,2,9,94,B,Minor,68,81,82,53,0,9,13
Ain   t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,121,F#,Minor,64,67,80,0,0,36,3
Thinkin    B,Morgan Wallen,1,2023,3,3,604,6,125917280,140,D#,Minor,66,43,76,49,0,12,3
Private Landing (feat. Justin Bieber & Future),"Don Toliver and  Future and  Justin Bieber",3,2023,2,23,1190,0,19,137,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,104,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,92,F,Major,57,68,76,7,0,33,3
Sial,Mahalini,1,2023,1,23,134,4,166570053,120,D,Major,56,20,43,89,0,12,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,144,D,Major,68,83,81,9,0,8,4
Man Made A Bar (feat. Eric Church),"Morgan Wallen and  Eric Church",2,2023,3,3,329,0,0,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,98,C#,Major,70,29,73,12,0,11,26
PERO T ,"Karol G and  Quevedo",2,2023,2,23,387,11,1,140,F#,Major,86,68,79,39,0,11,29
   98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,142,D,Major,49,48,67,10,0,26,3
WANDA,Quevedo,1,2023,1,20,888,22,175399345,176,E,Minor,72,96,63,25,0,21,7
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,107,B,Minor,66,47,40,72,0,11,3
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,148,,Major,53,61,81,5,0,36,4
Devil Don   ,Morgan Wallen,1,2023,3,3,166,0,32526947,125,,Major,53,32,66,38,0,9,3
LLYLM,ROSAL ,1,2023,1,27,1838,0,124988687,170,F#,Minor,56,56,63,13,0,19,27
I'm Not Here To Make Friends,"Sam Smith and  Calvin Harris and  Jessie Reyez",3,2023,1,27,1890,0,9,115,,Major,70,84,90,17,0,41,6
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,122,G#,Major,64,25,89,0,0,15,9
VIBE (feat. Jimin of BTS),"TAEYANG and  Jimin",2,2023,1,13,415,2,15,100,,Major,79,60,68,7,0,26,4
Mu  ,"Steve Aoki and  Tini and  La Joaqui",3,2023,1,12,658,2,0,90,A#,Minor,68,83,71,3,0,31,8
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,125,A#,Minor,71,83,89,1,0,17,9
